"sitenum","latitude","longitude","year","chla","sst","upwelling"
18,43.2999992370605,-124.400001525879,1999,4.40495428868702,12.0349796696713,-35.1324501037598
17,43.310001373291,-124.393333435059,1999,4.40495428868702,12.0349796696713,-35.1324501037598
16,43.3300018310547,-124.374000549316,1999,3.03203001618385,12.0684373378754,-35.1324501037598
19,41.060001373291,-124.150001525879,1999,3.93893941549154,12.0015279906137,11.0253953933716
15,44.2000007629395,-124.110000610352,1999,5.48234683817083,12.1484858023154,-39.8842258453369
14,44.218334197998,-124.110000610352,1999,5.48234683817083,12.1273860931396,-39.8842258453369
13,44.2425012588501,-124.110000610352,1999,5.63273411326938,12.1273860931396,-39.8842258453369
20,40.0200004577637,-124.073333740234,1999,3.09836619430118,12.1494658191999,15.0970830917358
12,44.7466672261556,-124.059997558594,1999,4.88790398836136,11.9734980492365,-40.180534362793
11,44.8066673278809,-124.059997558594,1999,4.7631959438324,12.109477752863,-40.180534362793
10,44.8266677856445,-124.056666056315,1999,4.3641511797905,12.0638677645952,-40.180534362793
8,45.9300003051758,-123.986666361491,1999,5.24789791107178,12.6824159854796,-35.7250671386719
23,39.3400001525879,-123.819999694824,1999,2.51374076472388,12.5125272099565,28.4498748779297
22,39.4149990081787,-123.809997558594,1999,2.89198867976665,12.5046629538903,28.4498748779297
24,39.272500038147,-123.7975025177,1999,2.42583335439364,12.4864773533561,28.4498748779297
21,39.5974988937378,-123.779998779297,1999,3.82318528493245,12.3862619111032,15.0970830917358
2,48.3375005722046,-124.687501907349,2000,4.3845333258311,9.6737381362915,-57.6866073608398
3,48.3133341471354,-124.660003662109,2000,4.158833305041,9.57509701902216,-57.6866073608398
4,47.939998626709,-124.658336639404,2000,9.5587500333786,10.6107223789866,-57.6866073608398
1,48.3891661961873,-124.650001525879,2000,3.4601111014684,9.55517507482458,-57.6866073608398
5,47.8699989318848,-124.599998474121,2000,11.3688125312328,10.5557873310187,-57.6866073608398
6,47.8600006103516,-124.569999694824,2000,11.9475455284119,10.5977385838827,-57.6866073608398
